Site Number ,Site Type,Site Status,Primary Descriptor
709270002,Primary,Active,"Mount Samson Rd, Mount Samson"
709270003,School,Active,"Winn Rd, Mount Samson"
709280001,Primary,Active,"Winn Rd, Cashmere"
709280004,Primary,Active,"Clear Mountain Rd, Cashmere/Clear Mountain"
709290401,Primary,Active,"Old North Rd, Warner"
709290501,Public Complaint,Active,"Windrest St, Strathpine"
709290502,School,Active,"Windrest St, Strathpine"
709290504,School,Active,"Stanley St, Brendale/Strathpine"
709290505,Primary,Active,"Stanley St, Brendale/Strathpine"
709290902,Primary,Active,"Samsonvale Rd, Bray Park"
709290903,Public Complaint,Active,"Lavarack Rd, Bray Park"
709290904,School,Active,"Lavarack Rd, Bray Park"
709291001,Primary,Active,"Samsonvale Rd, Strathpine"
709291002,Primary,Active,"Kensington Way, Strathpine"
709291003,Primary,Active,"Sparkes Rd, Bray Park"
709291004,School,Active,"Sparkes Rd, Bray Park"
709291005,Primary,Active,"Kensington Way, Bray Park"
709291301,Primary,Active,"Samsonvale Rd, Joyner/Warner"
709291302,School,Active,"Youngs Crossing Rd, Bray Park/Joyner"
709291303,Primary,Active,"Youngs Crossing Rd, Bray Park/Joyner"
709291401,Primary,Active,"Francis Rd, Lawnton/Bray Park"
709291402,Primary,Active,"Samsonvale Rd, Bray Park"
709291501,Primary,Active,"Sparkes Rd, Bray Park"
709291502,Primary,Active,"Francis Rd, Lawnton/Bray Park"
709291801,Stake Holder,Active,"Gordon's Crossing Rd East, Joyner"
709291802,Stake Holder,Active,"Francis Rd, Bray Park/Lawnton"
709291803,Stake Holder,Active,"Todds Rd, Lawnton"
709291804,Primary,Active,"Youngs Crossing Rd, Joyner/Lawnton"
709291901,Primary,Active,"Todds Rd, Lawnton"
709292001,School,Active,"Todds Rd, Lawnton"
709292501,Primary,Active,"Dayboro Rd, Petrie"
709292502,School,Active,"Dayboro Rd, Petrie"
709300102,Primary,Active,"Stanley St, Brendale/Strathpine"
709300401,Primary,Active,"Gympie Arterial Rd, Bald Hills"
709300501,Primary,Active,"Gateway Mwy, Bald Hills"
709300701,Primary,Active,"Gympie Rd, Strathpine"
709300702,Primary,Active,"Gympie Rd, Strathpine"
709300703,Stake Holder,Active,"Bells Pocket Rd, Strathpine"
709300704,School,Active,"Bells Pocket Rd, Strathpine"
709300705,School,Active,"Spitfire Ave, Strathpine"
